0.25,0.9,2.15,2.56,1.73,3.38,1.4,1.04,3.32,2.42,2.17,0.55
0.86,1.37,1.61,3.46,1.35,0.93,0.35,2.56,0.54,1.02,2.25,0.49
0.64,1.53,1.21,5.45,9.59,4.03,0.72,1.45,2.96,0.59,1.51,0.25
1.89,0.29,2.16,1.49,4.63,2.77,1.96,0.63,3.48,0.28,1.43,0.37
0.87,1.83,0.91,5.77,2.19,3.69,1.14,5.27,1.92,2.7,1.52,0.68
1.07,0.23,3.41,4.56,1.82,1.85,4.02,0.97,0.66,1.12,1.53,1.05
0.65,0.08,1.09,7.55,1.84,0.82,2.54,5.54,2.62,1.33,0.81,1.01
0.29,0.55,2.56,1.5,1.6,1.53,2.09,0.72,2.51,1.28,0.89,0.44
0.73,0.86,2.01,3.02,3.62,1.09,1.76,1.64,1.77,0.4,1.02,0.36
1.07,0.44,1.5,0.2,3.2,1.18,0.09,1.44,1.52,2.44,0.78,0.02
0.09,1.52,5.44,2.99,2.62,2.69,0.71,3.52,0.35,0.45,0.8,0.84
0.82,1.31,1.09,5.66,1.28,3.96,3.44,2.88,2.07,2.32,1.99,0.35
1.4,0.31,1.22,3.86,1.91,2.68,0.42,1.63,0.52,2.8,0.34,0.43
0.44,0.68,2.08,1.04,1.14,1.32,2.63,1.23,1.25,3.71,0.74,3.05
1.68,0.86,1.69,2.24,1.79,0.38,0.8,1.82,1.92,1.38,0.47,2.1
0.46,0.63,1.47,1.13,4.21,1.58,0.09,2.97,1.84,1.18,0.13,1.33
0.62,0.27,1.89,5.88,3.08,2.7,1.42,0.33,0.42,3.26,0.93,1.39
0.28,1.37,3.3,3.63,2.71,3.36,2.31,1.07,0.25,0.95,0.61,0.48
0.96,1.02,0.33,2.41,5.16,1.35,2.87,1.08,2.56,1.65,0.98,1.92
0.38,1.94,0.01,1.31,1.78,0.38,4.99,0.36,2.27,1.44,0.28,0.51
0.27,1.13,1.72,4.14,2.66,0.61,1.03,1.4,18.16,2.24,0.29,0.5
1.67,0.68,1.62,1.87,4.43,0.84,4.57,1.6,2.88,1.16,0.88,1.37
0.38,3.69,0.38,4.5,7.82,1.76,2.98,0.31,0.14,2.02,1.83,1.11
0.37,1.44,3.84,3.34,2.01,2.37,0.61,1.06,0.45,0.38,0.47,0.91
1.41,0.73,1.45,3.15,6.29,0.45,1.3,1.62,1.92,2.42,0.57,0.68
0.74,1.04,2.23,1.35,4.76,1.82,1.84,0.24,1.02,2.68,1.19,0.34
1.57,0.74,2.83,1.87,3.89,2.12,2.21,0.1,0.56,2.42,2.38,0.35
